created_at,updated_at,user_id,badge_id
2020-07-23 04:36:26,2020-07-23 04:36:26,13991889,361034-quick-watcher-5-bd
2020-02-24 05:35:44,2020-02-24 05:35:44,13991889,361315-serial-actor-voter-10-bd
2019-12-12 05:48:17,2019-12-12 05:48:17,13991889,361315-serial-actor-voter-3-bd
2019-12-12 05:48:36,2019-12-12 05:48:36,13991889,361315-serial-actor-voter-5-bd
2020-07-14 00:39:56,2020-07-14 00:39:56,13991889,361868-quick-watcher-3-bd
2020-07-28 05:10:06,2020-07-28 05:10:06,13991889,361868-quick-watcher-5-bd
2020-02-10 20:30:22,2020-02-10 20:30:22,13991889,362696-marathoner-3-within-24-bd
2023-02-19 18:14:18,2023-02-19 18:14:18,13991889,362829-marathoner-3-within-24-bd
2019-06-17 21:52:25,2019-06-17 21:52:25,13991889,364082-marathoner-3-within-24-bd
2019-06-18 00:43:30,2019-06-18 00:43:30,13991889,364082-marathoner-5-within-24-bd
2020-09-13 07:08:43,2020-09-13 07:08:43,13991889,364468-quick-watcher-3-bd
2019-08-10 05:36:39,2019-08-10 05:36:39,13991889,365722-marathoner-3-within-24-bd
2022-05-16 04:17:01,2022-05-16 04:17:01,13991889,366524-serial-actor-voter-3-bd
2023-05-02 00:58:24,2023-05-02 00:58:24,13991889,368613-marathoner-3-within-24-bd
2020-03-30 10:53:48,2020-03-30 10:53:48,13991889,370471-quick-watcher-3-bd
2020-05-21 21:41:57,2020-05-21 21:41:57,13991889,375892-marathoner-3-within-24-bd
2020-03-02 08:16:24,2020-03-02 08:16:24,13991889,375998-serial-actor-voter-3-bd
2020-03-02 08:16:24,2020-03-02 08:16:24,13991889,375998-serial-actor-voter-5-bd
2021-03-03 03:21:06,2021-03-03 03:21:06,13991889,377543-marathoner-3-within-24-bd
2023-09-02 21:03:08,2023-09-02 21:03:08,13991889,377543-quick-watcher-3-bd
2020-11-03 19:32:30,2020-11-03 19:32:30,13991889,387115-marathoner-3-within-24-bd
2023-05-02 03:58:27,2023-05-02 03:58:27,13991889,393201-marathoner-3-within-24-bd
2023-05-02 04:03:05,2023-05-02 04:03:05,13991889,393201-marathoner-5-within-24-bd
2023-08-07 15:06:05,2023-08-07 15:06:05,13991889,393203-marathoner-3-within-24-bd
2021-10-04 04:59:15,2021-10-04 04:59:15,13991889,401911-quick-watcher-3-bd
2023-04-15 17:30:40,2023-04-15 17:30:40,13991889,402474-quick-watcher-3-bd
2023-05-01 03:10:37,2023-05-01 03:10:37,13991889,402474-quick-watcher-5-bd
2023-08-24 23:35:35,2023-08-24 23:35:35,13991889,403245-marathoner-3-within-24-bd
2022-11-27 23:08:21,2022-11-27 23:08:21,13991889,405920-quick-watcher-10-bd
2022-10-10 14:58:43,2022-10-10 14:58:43,13991889,405920-quick-watcher-3-bd
2022-10-23 04:38:17,2022-10-23 04:38:17,13991889,405920-quick-watcher-5-bd
2024-01-25 02:57:48,2024-01-25 02:57:48,13991889,410100-marathoner-3-within-24-bd
2022-07-01 02:19:16,2022-07-01 02:19:16,13991889,412031-marathoner-3-within-24-bd
2024-01-01 04:03:24,2024-01-01 04:03:24,13991889,413033-marathoner-3-within-24-bd
2024-01-04 02:11:06,2024-01-04 02:11:06,13991889,413033-marathoner-5-within-24-bd
2023-04-27 17:31:00,2023-04-27 17:31:00,13991889,416952-marathoner-3-within-24-bd
2023-04-27 17:31:29,2023-04-27 17:31:29,13991889,416952-marathoner-5-within-24-bd
2023-12-06 09:42:31,2023-12-06 09:42:31,13991889,425416-marathoner-3-within-24-bd
2023-12-01 19:52:08,2023-12-01 19:52:08,13991889,425416-marathoner-5-within-24-bd
2024-10-26 23:15:24,2024-10-26 23:15:24,13991889,440820-quick-watcher-3-bd
2024-11-09 14:59:42,2024-11-09 14:59:42,13991889,440820-quick-watcher-5-bd
2024-02-02 04:10:38,2024-02-02 04:10:38,13991889,441279-marathoner-3-within-24-bd
2019-10-26 12:48:47,2019-10-26 12:48:47,13991889,74852-serial-actor-voter-3-bd
2019-11-08 20:57:25,2019-11-08 20:57:25,13991889,74852-serial-actor-voter-5-bd
2020-09-04 21:11:29,2020-09-04 21:11:29,13991889,78831-marathoner-3-within-24-bd
2017-12-09 17:43:58,2017-12-09 17:43:58,13991889,79275-marathoner-3-within-24-bd
2017-12-29 18:47:33,2017-12-29 18:47:33,13991889,79275-marathoner-5-within-24-bd
2019-11-08 21:19:26,2019-11-08 21:19:26,13991889,80534-marathoner-10-within-48-bd
2019-07-26 16:24:59,2019-07-26 16:24:59,13991889,80534-marathoner-3-within-24-bd
2019-09-22 16:17:54,2019-09-22 16:17:54,13991889,80534-marathoner-5-within-24-bd
2018-11-25 19:40:02,2018-11-25 19:40:02,13991889,81189-marathoner-3-within-24-bd
2018-07-16 15:10:44,2018-07-16 15:10:44,13991889,added-friend
2017-09-03 12:59:22,2017-09-03 12:59:22,13991889,archived-show
2018-11-25 19:44:36,2018-11-25 19:44:36,13991889,challenged-user-to-quiz
2017-07-12 05:00:35,2017-07-12 05:00:35,13991889,chose-emotion
2018-11-27 01:53:49,2018-11-27 01:53:49,13991889,commented-episode
2020-02-12 05:35:14,2020-02-12 05:35:14,13991889,commented-show
2019-09-23 14:43:23,2019-09-23 14:43:23,13991889,created-meme
2018-09-02 16:24:25,2018-09-02 16:24:25,13991889,displayed-hidden
