season_number,episode_number,vote_key,episode_id,user_id,series_name
6,2,7337996-13991889-28,7337996,13991889,The Flash (2014)
6,2,7337996-13991889-19,7337996,13991889,The Flash (2014)
1,5,7365509-13991889-30,7365509,13991889,Batwoman
1,5,7365509-13991889-15,7365509,13991889,Batwoman
1,6,7365510-13991889-18,7365510,13991889,Batwoman
1,6,7365510-13991889-28,7365510,13991889,Batwoman
1,7,7365511-13991889-18,7365511,13991889,Batwoman
1,7,7365511-13991889-19,7365511,13991889,Batwoman
1,7,7365511-13991889-14,7365511,13991889,Batwoman
1,7,7365511-13991889-28,7365511,13991889,Batwoman
1,7,7365511-13991889-38,7365511,13991889,Batwoman
6,3,7365512-13991889-18,7365512,13991889,The Flash (2014)
6,3,7365512-13991889-28,7365512,13991889,The Flash (2014)
6,4,7365513-13991889-28,7365513,13991889,The Flash (2014)
6,4,7365513-13991889-18,7365513,13991889,The Flash (2014)
6,5,7365514-13991889-13,7365514,13991889,The Flash (2014)
6,6,7365515-13991889-13,7365515,13991889,The Flash (2014)
6,7,7365516-13991889-18,7365516,13991889,The Flash (2014)
6,7,7365516-13991889-28,7365516,13991889,The Flash (2014)
3,3,7374309-13991889-13,7374309,13991889,Young Sheldon
3,1,7382468-13991889-15,7382468,13991889,Atypical
3,1,7382468-13991889-30,7382468,13991889,Atypical
4,3,7388320-13991889-14,7388320,13991889,Mr. Robot
4,3,7388320-13991889-38,7388320,13991889,Mr. Robot
3,2,7389443-13991889-18,7389443,13991889,Black Lightning
3,2,7389443-13991889-28,7389443,13991889,Black Lightning
3,3,7389449-13991889-13,7389449,13991889,Black Lightning
1,3,7394631-13991889-19,7394631,13991889,Batwoman
2,1,7395719-13991889-28,7395719,13991889,The End of the F***ing World
2,1,7395719-13991889-18,7395719,13991889,The End of the F***ing World
2,1,7395719-13991889-14,7395719,13991889,The End of the F***ing World
2,1,7395719-13991889-38,7395719,13991889,The End of the F***ing World
2,2,7395725-13991889-18,7395725,13991889,The End of the F***ing World
2,2,7395725-13991889-28,7395725,13991889,The End of the F***ing World
2,2,7395725-13991889-13,7395725,13991889,The End of the F***ing World
2,3,7395727-13991889-18,7395727,13991889,The End of the F***ing World
2,3,7395727-13991889-13,7395727,13991889,The End of the F***ing World
2,3,7395727-13991889-28,7395727,13991889,The End of the F***ing World
2,4,7395728-13991889-13,7395728,13991889,The End of the F***ing World
2,5,7395729-13991889-19,7395729,13991889,The End of the F***ing World
2,6,7395732-13991889-15,7395732,13991889,The End of the F***ing World
2,6,7395732-13991889-30,7395732,13991889,The End of the F***ing World
2,7,7395733-13991889-18,7395733,13991889,The End of the F***ing World
2,7,7395733-13991889-34,7395733,13991889,The End of the F***ing World
2,7,7395733-13991889-16,7395733,13991889,The End of the F***ing World
2,7,7395733-13991889-28,7395733,13991889,The End of the F***ing World
2,8,7395734-13991889-18,7395734,13991889,The End of the F***ing World
2,8,7395734-13991889-28,7395734,13991889,The End of the F***ing World
1,8,7395755-13991889-28,7395755,13991889,Batwoman
1,8,7395755-13991889-18,7395755,13991889,Batwoman
1,9,7395761-13991889-18,7395761,13991889,Batwoman
1,9,7395761-13991889-28,7395761,13991889,Batwoman
4,4,7405318-13991889-38,7405318,13991889,Mr. Robot
4,4,7405318-13991889-14,7405318,13991889,Mr. Robot
4,4,7405318-13991889-18,7405318,13991889,Mr. Robot
4,4,7405318-13991889-28,7405318,13991889,Mr. Robot
3,5,7410970-13991889-19,7410970,13991889,Young Sheldon
3,6,7410971-13991889-19,7410971,13991889,Young Sheldon
3,6,7410971-13991889-13,7410971,13991889,Young Sheldon
3,2,7416268-13991889-28,7416268,13991889,Atypical
3,2,7416268-13991889-30,7416268,13991889,Atypical
3,2,7416268-13991889-18,7416268,13991889,Atypical
3,2,7416268-13991889-13,7416268,13991889,Atypical
3,2,7416268-13991889-19,7416268,13991889,Atypical
3,2,7416268-13991889-15,7416268,13991889,Atypical
3,3,7416269-13991889-19,7416269,13991889,Atypical
3,4,7416270-13991889-13,7416270,13991889,Atypical
3,4,7416270-13991889-28,7416270,13991889,Atypical
3,4,7416270-13991889-19,7416270,13991889,Atypical
3,4,7416270-13991889-18,7416270,13991889,Atypical
