updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,source,created_at
2017-09-11 20:59:17,Rick and Morty,2,4,13991889,5292288,to-watch,2017-09-11 20:59:17
2017-09-13 04:13:24,Rick and Morty,2,5,13991889,5292289,to-watch,2017-09-13 04:13:24
2017-09-14 00:21:27,Rick and Morty,2,6,13991889,5292290,to-watch,2017-09-14 00:21:27
2018-09-20 19:26:52,Steven Universe,2,23,13991889,5295278,to-watch,2018-09-20 19:26:52
2018-09-20 18:33:12,Steven Universe,2,20,13991889,5295279,to-watch,2018-09-20 18:33:12
2017-09-14 01:07:09,Rick and Morty,2,7,13991889,5309462,to-watch,2017-09-14 01:07:09
2017-09-14 02:39:20,Rick and Morty,2,8,13991889,5309463,to-watch,2017-09-14 02:39:20
2017-08-12 16:39:25,iZombie,2,2,13991889,5317048,public-api,2017-08-12 16:39:25
2017-08-12 16:33:05,The Flash (2014),2,4,13991889,5330990,public-api,2017-08-12 16:33:05
2017-08-12 16:41:04,DC's Legends of Tomorrow,1,1,13991889,5333911,public-api,2017-08-12 16:41:04
2017-09-14 02:39:23,Rick and Morty,2,9,13991889,5335865,to-watch,2017-09-14 02:39:23
2017-09-14 02:39:26,Rick and Morty,2,10,13991889,5335866,to-watch,2017-09-14 02:39:26
2018-02-14 19:17:52,Dragon Ball Super,1,11,13991889,5341605,to-watch,2018-02-14 19:17:52
2018-02-15 04:31:55,Dragon Ball Super,1,14,13991889,5345647,to-watch,2018-02-15 04:31:55
2018-02-15 04:32:02,Dragon Ball Super,2,1,13991889,5345648,to-watch,2018-02-15 04:32:02
2018-02-15 04:32:05,Dragon Ball Super,2,2,13991889,5345649,to-watch,2018-02-15 04:32:05
2018-09-08 23:41:18,Steven Universe,2,14,13991889,5358120,episode-detail,2018-09-08 23:41:18
2018-08-24 22:18:01,Steven Universe,2,2,13991889,5359944,to-watch,2018-08-24 22:18:01
2018-09-08 22:53:11,Steven Universe,2,11,13991889,5360137,to-watch,2018-09-08 22:53:11
2018-09-20 19:47:18,Steven Universe,2,24,13991889,5363784,to-watch,2018-09-20 19:47:18
2018-09-20 19:58:55,Steven Universe,2,25,13991889,5363792,to-watch,2018-09-20 19:58:55
2018-09-20 20:35:48,Steven Universe,2,26,13991889,5363793,to-watch,2018-09-20 20:35:48
2018-09-23 16:31:53,Steven Universe,2,27,13991889,5363795,to-watch,2018-09-23 16:31:53
2018-09-23 16:31:55,Steven Universe,2,28,13991889,5363797,to-watch,2018-09-23 16:31:55
2018-09-23 16:31:57,Steven Universe,2,29,13991889,5363815,to-watch,2018-09-23 16:31:57
2018-02-15 04:32:07,Dragon Ball Super,2,3,13991889,5368641,to-watch,2018-02-15 04:32:07
2018-02-15 04:32:10,Dragon Ball Super,2,4,13991889,5368642,to-watch,2018-02-15 04:32:10
2017-08-12 16:33:05,The Flash (2014),2,5,13991889,5372872,public-api,2017-08-12 16:33:05
2017-10-19 01:23:38,iZombie,2,5,13991889,5372956,to-watch,2017-10-19 01:23:38
2017-10-22 08:12:10,iZombie,2,6,13991889,5380137,to-watch,2017-10-22 08:12:10
2017-08-12 16:33:05,The Flash (2014),2,6,13991889,5380138,public-api,2017-08-12 16:33:05
2017-08-12 16:33:05,The Flash (2014),2,7,13991889,5386553,public-api,2017-08-12 16:33:05
2017-10-25 10:01:19,iZombie,2,7,13991889,5390299,to-watch,2017-10-25 10:01:19
2018-02-15 04:32:13,Dragon Ball Super,2,5,13991889,5396344,to-watch,2018-02-15 04:32:13
2018-02-15 04:32:18,Dragon Ball Super,2,6,13991889,5396362,to-watch,2018-02-15 04:32:18
2018-02-15 04:32:23,Dragon Ball Super,2,7,13991889,5396364,to-watch,2018-02-15 04:32:23
2017-08-12 16:33:05,The Flash (2014),2,8,13991889,5399413,public-api,2017-08-12 16:33:05
2017-08-12 16:33:05,The Flash (2014),2,9,13991889,5399414,public-api,2017-08-12 16:33:05
