user_id,episode_id,uuid,vote_key,series_name,season_number,episode_number
13991889,0,474257f3-9239-4375-b645-a8bc2aebc6cb,474257f3-9239-4375-b645-a8bc2aebc6cb-13991889-18,,,
13991889,155935,53a4f520-94d7-43e5-8dd3-facca053713e,155935-13991889-13,Avatar: The Last Airbender,1,1
13991889,155936,5a0064be-88bb-4eef-8121-cd0bdabd63df,155936-13991889-13,Avatar: The Last Airbender,1,2
13991889,155937,8dc984bc-01af-451d-b29e-137b222d12de,155937-13991889-15,Avatar: The Last Airbender,1,3
13991889,155947,f09315ee-0f51-4afe-b794-e30e7e498e97,155947-13991889-13,Avatar: The Last Airbender,1,14
13991889,295483,66d324cd-2965-419d-8410-712fe6b23bf3,295483-13991889-15,Avatar: The Last Airbender,1,17
13991889,295483,66d324cd-2965-419d-8410-712fe6b23bf3,295483-13991889-27,Avatar: The Last Airbender,1,17
13991889,296054,f50192a7-2d2f-4cca-8614-a465701ea5da,296054-13991889-13,Drawn Together,1,1
13991889,300635,5ef78115-25b4-4271-ba8d-0810221e6a5a,300635-13991889-13,Avatar: The Last Airbender,1,15
13991889,301700,60355b41-f181-45b0-a084-d376bfbdd5c5,301700-13991889-13,Avatar: The Last Airbender,1,16
13991889,301701,d15819bd-ba0b-48b6-9929-bbc2f57bad3d,301701-13991889-19,Avatar: The Last Airbender,1,18
13991889,301702,cbcc35da-d8df-4176-b36b-879cdf26cd32,301702-13991889-18,Avatar: The Last Airbender,1,19
13991889,301702,cbcc35da-d8df-4176-b36b-879cdf26cd32,301702-13991889-19,Avatar: The Last Airbender,1,19
13991889,301703,471fe112-bd88-4586-8622-aedbc4e637f8,301703-13991889-19,Avatar: The Last Airbender,1,20
13991889,4123350,f3e851a1-7054-4f2c-b38e-cd2959225418,4123350-13991889-38,Breaking Bad,4,4
13991889,4123351,eea2ad60-796a-4d0c-a837-9380bee4fcf3,4123351-13991889-38,Breaking Bad,4,5
13991889,4123351,eea2ad60-796a-4d0c-a837-9380bee4fcf3,4123351-13991889-14,Breaking Bad,4,5
13991889,4921347,e9a432f5-c7b3-40a5-bb0d-c96c503e415b,4921347-13991889-19,Akame ga Kill!,1,15
13991889,4921348,ec4db361-232b-46d1-bf6f-32c1a1fb16c7,4921348-13991889-18,Akame ga Kill!,1,16
13991889,4921349,43f2be08-5475-4968-82c3-6220f7af3b09,4921349-13991889-29,Akame ga Kill!,1,17
13991889,4921349,43f2be08-5475-4968-82c3-6220f7af3b09,4921349-13991889-27,Akame ga Kill!,1,17
