name,value,created_at,updated_at,id,device_id
os_version,10,2022-05-19 00:31:21,2022-05-19 00:31:21,224912577,536ba9240003718d5e0f3982369e9586
play_services_status,0,2022-05-19 00:31:21,2022-05-19 00:31:21,224912579,536ba9240003718d5e0f3982369e9586
sdk,29,2022-05-19 00:31:21,2022-05-19 00:31:21,224912578,536ba9240003718d5e0f3982369e9586
to_watch_widgets,0,2022-05-19 00:31:21,2022-05-19 00:31:21,224912582,536ba9240003718d5e0f3982369e9586
agenda_widgets,0,2019-09-30 05:26:05,2019-09-30 05:26:05,111314168,57c80d5f278cf3cd987fd1026d8e74fa
build_brand,Xiaomi,2019-09-30 05:26:05,2019-09-30 05:26:05,111314161,57c80d5f278cf3cd987fd1026d8e74fa
build_manufacturer,Xiaomi,2019-09-30 05:26:05,2019-09-30 05:26:05,111314160,57c80d5f278cf3cd987fd1026d8e74fa
build_model,Redmi Note 5,2019-09-30 05:26:05,2019-09-30 05:26:05,111314162,57c80d5f278cf3cd987fd1026d8e74fa
launcher,ch.deletescape.lawnchair.ci,2019-09-30 05:26:05,2019-09-30 05:26:05,111314167,57c80d5f278cf3cd987fd1026d8e74fa
model,Redmi Note 5,2019-09-30 05:26:05,2019-09-30 05:26:05,111314159,57c80d5f278cf3cd987fd1026d8e74fa
os,android,2019-09-30 05:26:05,2019-09-30 05:26:05,111314163,57c80d5f278cf3cd987fd1026d8e74fa
os_version,9,2019-09-30 05:26:05,2019-09-30 05:26:05,111314164,57c80d5f278cf3cd987fd1026d8e74fa
play_services_status,0,2019-09-30 05:26:05,2019-09-30 05:26:05,111314166,57c80d5f278cf3cd987fd1026d8e74fa
sdk,28,2019-09-30 05:26:05,2019-09-30 05:26:05,111314165,57c80d5f278cf3cd987fd1026d8e74fa
to_watch_widgets,0,2019-09-30 05:26:05,2019-09-30 05:26:05,111314169,57c80d5f278cf3cd987fd1026d8e74fa
agenda_widgets,0,2019-01-26 07:53:33,2019-02-06 02:57:05,84267879,5cec83971505c43b95f9e614aed97f61
build_brand,Xiaomi,2019-01-26 07:53:33,2019-04-07 03:57:46,84267872,5cec83971505c43b95f9e614aed97f61
build_manufacturer,Xiaomi,2019-01-26 07:53:33,2019-01-26 07:53:33,84267871,5cec83971505c43b95f9e614aed97f61
build_model,Redmi Note 5,2019-01-26 07:53:33,2019-01-26 07:53:33,84267873,5cec83971505c43b95f9e614aed97f61
launcher,ch.deletescape.lawnchair.ci,2019-01-26 07:53:33,2019-04-07 03:57:46,84267878,5cec83971505c43b95f9e614aed97f61
model,Redmi Note 5,2019-01-26 07:53:33,2019-01-26 07:53:33,84267870,5cec83971505c43b95f9e614aed97f61
os,android,2019-01-26 07:53:33,2019-01-26 07:53:33,84267874,5cec83971505c43b95f9e614aed97f61
os_version,9,2019-01-26 07:53:33,2019-02-09 03:16:54,84267875,5cec83971505c43b95f9e614aed97f61
play_services_status,0,2019-01-26 07:53:33,2019-01-26 07:53:33,84267877,5cec83971505c43b95f9e614aed97f61
sdk,28,2019-01-26 07:53:33,2019-02-09 03:16:54,84267876,5cec83971505c43b95f9e614aed97f61
to_watch_widgets,0,2019-01-26 07:53:33,2019-01-26 07:53:33,84267880,5cec83971505c43b95f9e614aed97f61
agenda_widgets,0,2018-10-14 23:06:18,2018-10-14 23:06:18,71481499,73074bb42dc0df472b916754324bae7e
build_brand,google,2018-10-14 23:06:18,2018-10-14 23:06:18,71481492,73074bb42dc0df472b916754324bae7e
build_manufacturer,Google,2018-10-14 23:06:18,2018-10-14 23:06:18,71481491,73074bb42dc0df472b916754324bae7e
build_model,Pixel XL,2018-10-14 23:06:18,2018-10-14 23:06:18,71481493,73074bb42dc0df472b916754324bae7e
launcher,com.google.android.apps.nexuslauncher,2018-10-14 23:06:18,2018-10-14 23:06:18,71481498,73074bb42dc0df472b916754324bae7e
model,Pixel XL,2018-10-14 23:06:18,2018-10-14 23:06:18,71481490,73074bb42dc0df472b916754324bae7e
os,android,2018-10-14 23:06:18,2018-10-14 23:06:18,71481494,73074bb42dc0df472b916754324bae7e
os_version,9,2018-10-14 23:06:18,2018-10-14 23:06:18,71481495,73074bb42dc0df472b916754324bae7e
play_services_status,0,2018-10-14 23:06:18,2018-10-14 23:06:18,71481497,73074bb42dc0df472b916754324bae7e
sdk,28,2018-10-14 23:06:18,2018-10-14 23:06:18,71481496,73074bb42dc0df472b916754324bae7e
to_watch_widgets,0,2018-10-14 23:06:18,2018-10-14 23:06:18,71481500,73074bb42dc0df472b916754324bae7e
agenda_widgets,0,2019-10-02 18:38:26,2019-10-02 18:38:26,111559414,83391a56699ec142253fe7750d3d8a53
build_brand,OnePlus,2019-10-02 18:38:26,2019-10-05 05:16:12,111559407,83391a56699ec142253fe7750d3d8a53
build_manufacturer,OnePlus,2019-10-02 18:38:26,2019-10-05 05:16:12,111559406,83391a56699ec142253fe7750d3d8a53
build_model,ONEPLUS A5010,2019-10-02 18:38:26,2019-10-05 05:16:12,111559408,83391a56699ec142253fe7750d3d8a53
launcher,net.oneplus.launcher,2019-10-02 18:38:26,2019-10-05 05:16:12,111559413,83391a56699ec142253fe7750d3d8a53
model,ONEPLUS A5010,2019-10-02 18:38:26,2019-10-05 05:16:12,111559405,83391a56699ec142253fe7750d3d8a53
os,android,2019-10-02 18:38:26,2019-10-02 18:38:26,111559409,83391a56699ec142253fe7750d3d8a53
os_version,9,2019-10-02 18:38:26,2019-10-02 18:38:26,111559410,83391a56699ec142253fe7750d3d8a53
play_services_status,0,2019-10-02 18:38:26,2019-10-02 18:38:26,111559412,83391a56699ec142253fe7750d3d8a53
sdk,28,2019-10-02 18:38:26,2019-10-02 18:38:26,111559411,83391a56699ec142253fe7750d3d8a53
to_watch_widgets,0,2019-10-02 18:38:26,2019-10-02 18:38:26,111559415,83391a56699ec142253fe7750d3d8a53
agenda_widgets,1,2019-10-11 15:07:54,2019-10-29 03:05:24,112508450,8a4cfac9fe010daeb43556dfe79ecadd
build_brand,Xiaomi,2019-10-11 15:07:54,2019-11-11 16:15:34,112508443,8a4cfac9fe010daeb43556dfe79ecadd
build_manufacturer,Xiaomi,2019-10-11 15:07:54,2019-11-11 16:15:34,112508442,8a4cfac9fe010daeb43556dfe79ecadd
build_model,Redmi Note 5,2019-10-11 15:07:54,2019-11-11 16:15:34,112508444,8a4cfac9fe010daeb43556dfe79ecadd
launcher,com.google.android.apps.nexuslauncher,2019-10-11 15:07:54,2019-11-11 16:15:34,112508449,8a4cfac9fe010daeb43556dfe79ecadd
model,Redmi Note 5,2019-10-11 15:07:54,2019-11-11 16:15:34,112508441,8a4cfac9fe010daeb43556dfe79ecadd
os,android,2019-10-11 15:07:54,2019-10-11 15:07:54,112508445,8a4cfac9fe010daeb43556dfe79ecadd
os_version,10,2019-10-11 15:07:54,2019-10-11 15:07:54,112508446,8a4cfac9fe010daeb43556dfe79ecadd
play_services_status,0,2019-10-11 15:07:54,2019-10-11 15:07:54,112508448,8a4cfac9fe010daeb43556dfe79ecadd
sdk,29,2019-10-11 15:07:54,2019-10-11 15:07:54,112508447,8a4cfac9fe010daeb43556dfe79ecadd
to_watch_widgets,1,2019-10-11 15:07:54,2019-10-29 03:05:24,112508451,8a4cfac9fe010daeb43556dfe79ecadd
agenda_widgets,0,2017-07-31 04:00:21,2017-07-31 04:00:21,16247729,9033d7d9fc68cda89dedb37e62867888
build_brand,samsung,2017-07-31 04:00:21,2017-07-31 04:00:21,16247722,9033d7d9fc68cda89dedb37e62867888
