updated_at,series_id,user_id,type,series_name,watch_count,created_at,uuid,type-uuid-n,watches,rewatch_count,follow_date_range_key,entity_type,movie_name,release_date_range_key,release_date,alpha_range_key,runtime,season_number,series_uuid,episode_id,watch_date,episode_number,watched_episode_range_key,total_series_runtime,total_movies_runtime,watch_date_range_key,unitarian,country
2019-08-10 05:51:49,,13991889,follow,,,2019-08-10 05:51:49,b8ee32c3-48a2-4562-8686-e2933ef20e90,follow-b8ee32c3-48a2-4562-8686-e2933ef20e90-0,,0,follow-follow-date-1565416309,movie,The Hobbit: The Battle of the Five Armies,,,,,,,,,,,,,,,
2019-08-10 06:01:16,,13991889,follow,,,2019-08-10 06:01:16,b8f1f0c6-a24a-4c54-9056-486061b0d972,follow-b8f1f0c6-a24a-4c54-9056-486061b0d972-0,,0,follow-follow-date-1565416876,movie,Marley & Me,,,,,,,,,,,,,,,
2019-08-10 05:54:28,,13991889,follow,,,2019-08-10 05:54:28,b8f4e857-7b12-4a5e-9a87-994393fa4d70,follow-b8f4e857-7b12-4a5e-9a87-994393fa4d70-0,,0,follow-follow-date-1565416468,movie,Hotel Transylvania 2,,,,,,,,,,,,,,,
2023-06-10 12:11:56,,13991889,follow,,,2023-06-10 12:11:56,b94842ee-d986-4014-8e44-6032c24d9b35,follow-b94842ee-d986-4014-8e44-6032c24d9b35-0,,,follow-follow-date-1686399116,movie,Thunderbolts*: *The New Avengers,follow-release-date-2024-07-24,2024-07-24 00:00:00,follow-alpha-thunderbolts,,,,,,,,,,,,
2020-10-11 19:14:31,,13991889,follow,,,2020-10-11 19:14:31,b9734307-c575-4c85-bd3d-19457fade50d,follow-b9734307-c575-4c85-bd3d-19457fade50d-0,,0,follow-follow-date-1602443671,movie,American Murder: The Family Next Door,,2020-09-30 00:00:00,,,,,,,,,,,,,
2023-06-12 03:09:39,,13991889,follow,,,2023-06-12 03:09:39,b98bb355-c5d5-443c-93a1-6fb232af33bd,follow-b98bb355-c5d5-443c-93a1-6fb232af33bd-0,,,follow-follow-date-1686539379,movie,進撃の巨人 - Lost in the Cruel World,follow-release-date-2018-08-09,2018-08-09 00:00:00,follow-alpha-attack-on-titan-ova-8---lost-girls-lost-in-the-cruel-world,1500,,,,,,,,,,,
2026-06-20 18:02:40,,13991889,follow,,,2026-06-20 18:02:40,b9faec46-305e-418b-b6e1-ffc7b538733b,follow-b9faec46-305e-418b-b6e1-ffc7b538733b-0,,,follow-follow-date-1781978560,movie,Your Fault: London,follow-release-date-2026-06-17,2026-06-17 00:00:00,follow-alpha-your-fault-london,,,,,,,,,,,,
2024-06-21 18:23:17,,13991889,follow,,,2024-06-21 18:23:17,ba7c1fa6-21f6-4021-8f18-61138d72ba23,follow-ba7c1fa6-21f6-4021-8f18-61138d72ba23-0,,,follow-follow-date-1718994197,movie,Wonder Woman 3,follow-release-date-2026-01-01,2026-01-01 00:00:00,follow-alpha-wonder-woman-3,,,,,,,,,,,,
2024-08-10 17:50:58,,13991889,follow,,,2024-08-10 17:50:58,bb15d16d-6f79-42c1-81bd-c673dc7537ee,follow-bb15d16d-6f79-42c1-81bd-c673dc7537ee-0,,,follow-follow-date-1723312258,movie,Kingdom of the Planet of the Apes,follow-release-date-2024-05-10,2024-05-10 00:00:00,follow-alpha-kingdom-of-the-planet-of-the-apes,8700,,,,,,,,,,,
2019-08-10 06:01:18,,13991889,follow,,,2019-08-10 06:01:18,bb428e73-3014-4d78-a449-75878051e3fb,follow-bb428e73-3014-4d78-a449-75878051e3fb-0,,0,follow-follow-date-1565416878,movie,Sherlock Holmes: A Game of Shadows,,,,,,,,,,,,,,,
2019-08-10 05:56:26,,13991889,follow,,,2019-08-10 05:56:26,bb4d8f9c-3c10-4798-92b2-48d242630470,follow-bb4d8f9c-3c10-4798-92b2-48d242630470-0,,0,follow-follow-date-1565416586,movie,2 Fast 2 Furious,,,,,,,,,,,,,,,
2024-06-19 16:11:36,,13991889,follow,,,2024-06-19 16:11:36,bb52ce42-a7e5-482c-8127-8a53283965ac,follow-bb52ce42-a7e5-482c-8127-8a53283965ac-0,,,follow-follow-date-1718813496,movie,Inside Out 2,follow-release-date-2024-06-14,2024-06-14 00:00:00,follow-alpha-inside-out-2,6000,,,,,,,,,,,
2019-08-10 06:04:49,,13991889,follow,,,2019-08-10 06:04:49,bbab1b9f-ec09-4a02-bfcb-82631c25aa98,follow-bbab1b9f-ec09-4a02-bfcb-82631c25aa98-0,,0,follow-follow-date-1565417089,movie,Shark Tale,,,,,,,,,,,,,,,
